grantee,diversity_means,diversity_importance,acted,support_hiring,support_programming,other_advice
American Rivers,"In my view, diversity means communities of color, LGBTQ, the poor, women, and all other historically marginalized groups are fully brought into and invested in efforts to conserve western lands and waters.  Equity means all such groups are treated fairly, with opportunities for all groups and individuals to contribute to and benefit from western land and waters.  Inclusion mean that all are made to feel welcome, and efforts must be made to accommodate differing creeds, colors, sexual orientations, genders, income levels, religious traditions, etc., and that all are afforded opportunities to participate, advance, and lead.","Aside from the intrinsic value of a diverse, equitable and inclusive approach to western conservation, its importance is two-fold.  First, it’s becoming increasingly clear that in order to remain relevant and effective in a world of dramatic demographic change, conservation groups in the west need to widen their appeal beyond their traditional white constituencies.  Second, conservation action will be much more effective if it fully engaged with, relevant to, and benefiting Native American, Latinx, African American and other communities of color or historically marginalized communities.  These are important constituencies that have a stake in western lands and waters, and have important contributions to make to their conservation.","American Rivers has established a standing Diversity, Equity and Inclusion (DEI) Committee tasked with developing and supporting implementation of organizational DEI goals and objectives. Two key focal areas for the committee and the work will be hiring and inclusive culture. We are at the beginning of the implementation phase of this work and thus far American Rivers has secured funding to promote all American Rivers’ job and internship postings on diversity-focused job websites in an effort to reach more diverse candidates. As part of the implementation of our DEI goals and objectives, American Rivers will be hiring an outside consultant to lead an all-staff DEI training that would enhance our day-to-day inclusive workplace culture and encourage hiring managers to address unconscious biases when recruiting.","Lack of dedicated funds is a big hurdle for our organization. It would be helpful to hire an outside consultant or consultants to help lead staff-wide trainings that would create awareness of and provide tools to address unconscious biases. In terms of recruiting specifically, it would also be helpful to purchase the software to setup an online application process that could better streamline our recruitment and allow for blind resume review. Recruitment software could also help American Rivers better track the diversity metrics of our applicants so we could determine if we are successfully reaching diverse audiences and candidates.","As organizations adopt commitments to diversity, equity and inclusion (DEI) many, especially those primary funded through restricted funding, are limited in their ability to support more diverse programmatic work or explore new partnerships by the constraints of the conservation outcomes sought by the funding source.  General support for organizations to implement their DEI plans both internally and externally would support their commitment while providing a boost to the Foundation’s goals. This should include support for on the ground outreach efforts to seek a better understanding of the needs and values of diverse constituencies, some of which may not directly coincide with an immediate conservation opportunity but which would build trust and lead to greater collaboration in the future. The Foundation could support an information-sharing network for its grantees to collaborate on diversity projects and partnerships across the landscape, leveraging the partner’s experiences and connections.","The metrics that drive outcomes are often too narrowly focused (i.e. acres conserved, miles of rivers protected) to support an evolution within the conservation space that will broaden the constituencies served, expand potential partnerships and create more diverse program work. If diversity in our work creates resiliency, just as in ecosystems, then we need to allow some natural evolution to occur that will create a more diverse movement, build long-term political power by broadening public demand for conservation, while still achieving important and measurable outcomes on the ground. An emphasis on “non-traditional” partners such as conservative voices, veterans, and hunters and anglers has enabled us to achieve the conservation of some outstanding lands and waters in the West, but it has inadvertently narrowed the number and types of politically relevant constituencies for many decision-makers instead of broadening public demand for conservation. While these voices will always be important, we must also explore investments that make the case for why a broader slice of the public should care enough to support western conservation (e.g. protection of clean water flowing from public lands) particularly in politically moderate sectors. Lastly, support for projects and partnerships with historically under-represented communities that create learning and trust-building environment more loosely tied to conservation outcomes will help build relationships and identify areas of potential collaboration that we may not envision today."
Arabella Advisors,"[Please note that this answer will be consistent across NVF/Windward Fund/Arabella Advisors given the management of NVF and Windward by Arabella]  Diversity in a Western Conservation context means representing a wide range of voices on conservation issues: environmentalist, indigenous, hunter/angler, recreationalist/outdoorsperson, agriculturalist, urban planner—identities which all represent an interest in conservation from different angles (but are not exclusive, with multiple identities often being held by the same individual).  Equity means recognizing and adjusting to the different challenges, needs, and circumstances of diverse voices so that the voices are weighed to the same standard despite any historical and present-day advantages or disadvantages relative to one another. Equity requires intentionally pursuing outcomes to alter the systems that ensure people of color and low-income people bear the brunt of environmental degradation while also being excluded from leadership in the environmental movement.  Inclusion means lifting up the voices that have been/are ignored, maligned, or disenfranchised so that they hold the same weight in conversations about how to define and achieve conservation success as the voices that have historically been accepted and respected.","[Please note that this answer will be consistent across NVF/Windward Fund/Arabella Advisors given the management of NVF and Windward by Arabella]  The West encompasses a diversity of voices that represent an array of interests in how to live in harmony with others and with nature. Equity and inclusion are important because in many cases, those who are most affected by decisions about their communities are those who have the least say in those decisions. We must ensure that we recognize and lift up voices that have been historically (and are presently) disadvantaged so that approaches to solving conservation challenges take into account the full range of perspectives and needs of those they will affect.","We have forged partnerships with multiple community organizations to expand our networks. We have educated staff on implicit bias and removed ""cultural fit"" as a rationale for hiring. We've developed an internal affinity group called ""Inclusion Leaders at Arabella"" that advocate for changes within the organization that improve inclusion and equity at the firm. Read about our journey here: website","Encourage grantees to consider eliminating biased practices from hiring practices such as asking for salary history. Regularly engage with grantees about how they are integrating DEI values into their workplace culture e.g. ask in your application materials, ask in your reporting prompts, ask in face to face meetings.","Great that you are doing this survey: CONTINUE to gather this demographic and geographical information from grantees in regular reporting. The Foundation can explicitly say that it prioritizing programs that have diverse staff, that are run by people of color, are run by people who live in the communities that are affected by the issues they are trying to address. The Foundation can also be clear that it only funds organizations that are demonstrating efforts to make progress toward becoming more inclusive.","Anonymously survey or interviewee grantees about perceived power dynamics between Hewlett staff/consultants and grantee organizations. Have grantees not only provide input but also review your strategy before it is final. Be transparent about where the funder strategy and the grantees strategies are aligned and where they are not.  Examine how you inhabit power in meetings with grantees: are you giving grantee organizations the opportunity to take the lead and funding them for it?  Ensure that the burden of implementing a DEI lens does not fall only on grantee but also falls on Hewlett staff (e.g. Make reports (and metrics) streamlined and easy for grantees to fill out, consider check-in calls or site visits with grantees instead of formal reports, pay for data collection / evaluation efforts, and/or provide technical assistance to grantees with evaluation). Only ask for information that you’re actually going to use it.  Continue the internal work with an external facilitator to hold ongoing staff conversations about DEI—make it personal and make it ok to bring the personal into the work.  Be aware about how your due diligence process may be biased towards well-resourced organizations with greater capacity. Decide ahead of time to award a certain amount of funding to smaller organizations, and compare applications from smaller organizations against each other."
Backcountry Hunters and Anglers,"Diversity in western conservation means bringing together a range of stakeholders, interest areas, and demographic representation at all levels united for the single cause of advancing the long-term interests of conserving our wild public lands, waters and wildlife. Equity represents the idea of giving each of them a voice and equal consideration and ensuring that conservation doesn't come at the expense of other uses and interests. Inclusion means finding transparency across all activities and creating clear opportunities for engagement with open-ended invitations for participation and contribution.","One single group or individual interest area cannot adequately convey all aspects and perspectives of something as dynamic as western conservation. Additionally, we need a multitude of voices to carry complementary messages in order for advocacy efforts to yield consistent and winning long-term results. If we fail to motivate and inspire people from all backgrounds and walks of life, we fail the future of America and western conservation. Apathy is already a growing problem that exacerbates ongoing challenges with people becoming increasingly disconnected from the outdoors and the importance of our wild landscapes. It is our duty, as leaders and the current stewards of our natural resources, to inspire and motivate people to value conservation and understand its importance regardless of their geography or location and station in life.",BHA creates a welcoming environment that considers and integrates all qualified candidates regardless of their backgrounds and demogaphics. We advertise and recruit from all areas equally and select our candidates based on their skills and experiences. We don't ask people to provide demographic information in the application process.,I don't know that I have a great response for this. It is a common struggle and I am inclined to attribute more rigid barriers to the rationale for these challenges and I don't think Hewlett or anyone else can impact much change there.,Other constituencies may be better served by tailor-made outreach mechanisms but then we run the risk of it feeling and looking like a contrived diversity outreach program instead of a genuine effort to integrate and include various constituencies in a an equitable manner.,"We have to meet people where they are at, appeal to them in a way that is centered on their values instead of ours and demonstrate/communicate how they will benefit by engaging with us. We must inspire people to want to be a part of our conservation work instead of assuming they already want to be just because we say they should be. We must also continue to find ways to create engagement opportunities on their terms and meet them in their own communities and work to be apart of their lives as much as we want them integrated in ours. Finding thoughtful ways to be welcoming will be key to this as many of our organizations can appear to be overwhelming or even hostile and antagonistic towards certain constituencies."
Center for American Progress,"Our system of national parks, wildlife refuges and public lands means vastly different things to different people.  For some, public lands can bring a sense of solitude, healing or adventure; for others, public lands represent history, subsistence or economic opportunity. Diversity, equity and inclusion means ensuring that these various perspectives are surfaced, considered and valued during the inevitably complex discussions about land management.","Diversity, equity and inclusion values are key to efforts to conserve the West because they help ensure that the megaphone and deep pockets of the fossil fuel industry do not drown out key stakeholders, such as outdoor enthusiasts, hunters and anglers, and tribes.  It’s critical to encourage and elevate new voices to join the debate – ones that may have a vested interest in public lands but may not traditionally engage in conversations that will have direct or indirect impacts on their health, wealth and quality of life.  Ultimately, these efforts will help re-balance the scale such that more public and private lands are managed with future generations in mind – not just extractive uses.","As CAP grows, we continue to set more goals that further increase diversity. CAP’s executive leadership and Board are committed to building greater racial and gender diversity representation, and are actively pursuing candidates who will contribute their particular expertise and perspective to our mission and leadership.  While we have succeeded in recruiting policy experts and managers of color, sustaining and strengthening the diversity of our team remains a priority focus for the Board, Executive Committee and hiring managers. Key steps CAP has taken have included: publicizing job opportunities via networks, job boards and list serves that reach diverse communities; emphasizing hiring and retention of diverse staff within our management training; and launching a diversity committee initiative designed to support hiring and retention.","The Center for American Progress is placing additional emphasis on the value of the internship program to develop and offer a pipeline of diverse talent for the organization. Importantly, this includes a recent shift in policy to ensure that interns are paid a defensible living wage. As a result, the talent pool will not be limited to those who can afford to live in Washington, D.C. with a nominal income. One way the Foundation can support diversity is through encouraging grant proposals that build in reasonable budgets for intern programs.","Reaching new audiences and engaging new voices takes time, creativity and patience.  The Foundation can support organizations by first, clearly stating an expectation that diversity, equity and inclusion efforts will be valued; and second, providing the space and runway for trial and – just as importantly – error.  For example, the public lands program at CAP is in the midst of working on a joint report on conservation opportunities in the Farm Bill with the R Street Institute, a conservative-minded think tank.  While the co-authorship effort has taken twice as long and resulted in some watered-down recommendations, the end result will be a product that likely gets more traction on Capitol Hill because of the surprising partnership.","Too often, the conservation community follows a well-worn playbook of what voices and audiences to engage.  The simple act of being made aware of non-traditional and diverse organizations can help shake up the pattern.  Given the Foundation’s great convening authority – directly and through its grantees – there is an opportunity here to force the conservation community to pause, look up, and meet some new entities and constituencies that can offer refreshing perspectives.  This could be a simple as doing some behind the scenes matchmaking, drawing on the Foundation’s bird’s eye view, or a more involved series of meetings and conferences that bring together a diverse set of individuals and organizations."
Conservation Colorado Education Fund,"These values mean we must ensure all people have a voice, especially communities that have been historically left out of conversations and decision-making processes. These same communities are often the most impacted by environmental problems. The aim with applying principles of diversity, equity, and inclusivity to our work is to engage with, invest in, and listen to these communities, which are often separated out by race but also include geographic or socioeconomic factors.","Solutions that don’t take into account the impacts on frontline communities aren’t solutions. The future of the conservation movement relies on our ability to engage and elevate non-white, non-traditional voices. Not only are these values important because of the historical context of our work — the environmental movement was historically an affluent, white, male movement — but they are also important because including more people into our community is the only way to win.","In our hiring, we have worked to make sure our job postings are inclusive and are not written to artificially narrow the pool of potential candidates based on arbitrary requirements, such as requiring a degree or physical ability. We have also expanded our recruitment process for open positions by undertaking active recruitment strategies, reaching out to partners to spread the word about open positions, and posting on many different job boards reach different audiences. In the workplace, we underwent a formal diversity and inclusion training with all our staff, we require staff to incorporate these values into their annual plans and personal work plans, and we hold regular meetings of our diversity, equity, and inclusivity committee to ensure we are holding these values at the center of our work. In addition, we are working with our diversity, equity, and inclusivity consultant Angel Perez this year to formally review our human resources and hiring practices.","The Foundation can support internal projects for organizations focused on building these values into their organizational culture. This could include requiring organizations to include an equity component into all or some of their organizational effectiveness grants, or requesting that groups pursue organizational effectiveness projects that relate to diversity, equity, and inclusivity. The Foundation could also require in their grants that organizations include some component of equity work, and could specifically support groups that lack the resources to begin focus on this work.","As online engagement grows, organizations need to meet people where they are while also trying new methods and platforms for outreach. To assist in this effort, the Foundation could provide funding for organizations to explore engagement tools and platforms that have proven to work well with diverse audiences.  The Foundation could prioritize funding groups that do direct outreach to diverse constituencies, and making sure these groups have the ability to choose their own priorities and goals.   The Foundation could organize trainings for grantees to learn about how these values relate to Western Conservation issues and share best practices and lessons learned. This sort of summit would help grantees figure out how to think about these issues in a broader social justice context.","The Foundation can continue on this internal progress, but can especially prioritize distributing funding to organizations that are run by people of color, focus on reaching constituencies of color, or are fully dedicated to implementing these values. Directing funding to the organizations that are on the front lines of this work is an effective way to support these values. In addition, commitment to this work has to start from the top of an organization and cannot be seen as an appendix to the work. It must be fundamentally a part of the organization’s mission and everything it does. Rather than a destination, these values require an ongoing commitment."
Conservation Lands Foundation,"EID means all people have access to public lands. America’s public lands belong to all of us and must benefit all of us as they reveal our history, tell our stories, celebrate the diversity of our country and honor the myriad of ways we find connection and meaning in these unique places.",,"Our staff took part in an EID training in the last 18 months. We learned how to write job descriptions that appeal to a wide audience (removing masculine and jargon words as much as possible); we post our job openings on several divers job boards and look internally for candidates before posting to the public. As an organization we have an EID initiative in place and an EID committee that meets monthly to help guide our staff in making sure we are looking at our organization through and EID lense when completing workplans, looking for new partners, and granting money.",Resources for initial and continued EID trainings. Hosted workshops on how to create an inclusive workplace. Board specific trainings on EID and recruiting.,,
Earthjustice,"Achieving greater diversity, equity, and inclusion in everything we do is inextricably linked to Earthjustice’s mission to protect our planet and defend the rights of all people to a healthy environment. We believe a commitment to enhance and steadily increase diversity and inclusion at Earthjustice flows directly from our core values and is essential to achieve our mission. As our name Earthjustice indicates, we are driven by a passion for justice—for people and for the environment, by a belief that we can accomplish more in genuine partnership with others, and by a commitment to excellence and strategic action. Our commitment to working in partnerships compels us to build relationships where all partners are valued, heard, respected, and empowered, and our desire for savvy and strategic approaches benefits from a multitude of cultural and life experiences and communities. Our pursuit of diversity and inclusion recognizes that environmental burdens and benefits are not distributed equitably and we seek to address these historic and current disparities so that each of us can realize and enjoy a healthy, rich and inspiring world.","Despite our country’s pledge that all people are equal under the law, communities of color, indigenous communities, and low-income communities have historically and currently shoulder the burden of environmental impacts. Representing these disproportionately impacted communities and tribes is a critical priority of Earthjustice’s legal, advocacy, and communications efforts. These partnerships are essential to achieve our mission.","Earthjustice develops an annual comprehensive Diversity, Equity & Inclusion Plan to lay out our internal and external organizational goals for that year. Included in the plan are tangible objectives and metrics for accountability that will keep us committed to our vision. The goals reflect the work we believe is essential to do on DEI, both inside and outside the doors of Earthjustice. Inside, we will continue our work to recruit and retain multi-culturally sophisticated employees and to build a stronger culture of inclusion. Earthjustice continues to pursue diversity, equity, and inclusion both inside and outside our doors; our new DEI plan (see https://earthjustice.org/about/diversity-statement) will be published in February 2018 which we would be happy to share with the William & Flora Hewlett Foundation.","Funding to develop DEI programs, participate in DEI trainings, and have access to information – especially models for success. Some key takeaways, from our efforts to develop and maintain successful partnerships—so critical to DEI efforts—is to include the importance of deeply listening before acting; honoring the expertise that comes to the partnership from both sides understanding and acknowledging the historical context; and understanding and respecting cultural differences.","Funding to develop DEI programs, participate in DEI trainings, and have access to information – especially models for success. Some key takeaways, from our efforts to develop and maintain successful partnerships—so critical to DEI efforts—is to include 1) the importance of deeply listening before acting; 2) honoring the expertise that comes to the partnership from both sides (3) understanding and acknowledging the historical context; and 4) understanding and respecting cultural differences.","Lessons we’ve learned:  Our goals must reflect the work we believe is essential to do on DEI, both inside and outside the doors of Earthjustice and building authentic relationships is critical. Understanding progressive values provides the foundation on which to build DEI work, but it takes ongoing work and engagement, including building authentic relationships with others—both within the organization and with our clients and partners. This is particularly true for the environmental movement which remains largely homogenous and therefore requires active engagement with others in order to change. Diversity, equity and inclusion must be consistently embedded throughout and not an add-on. Training is important, providing information and tips and tools to raise awareness of things such as implicit bias, but training must be accompanied by time to practice and internalize the learning. It is important that everyone within the organization be engaged, especially senior leadership whose active engagement is critical to success."
EcoFlight,"Environmental issues affect every member of the public. Every community deserves clean air and water and can benefit from healthy ecosystems and public lands. In a time when we are faced with daunting issues like social justice, climate change and  health care, we need to reflect on the role of Western Conservation in each of these issues and each community.","Public lands conservation tends to be a top-tier issue for white people; over the past century black and Latino communities, minorities, gay and lesbian communities have sometimes been preoccupied with other more pressing issues and therefore may be less engaged in Western Conservation. Conservation needs a broader, more diverse and engaged base of political support in order to endure the constant attacks and bad legislation. Western Conservation needs champions from these diverse communities and would benefit from learning how public land and conservation issues are valued in different communities. Native Americans have traditionally been very involved in many of the issues in Western Conservation. Latino, Black and other minority groups are growing in number and their voice is needed at the table to have full inclusivity for all communities.","We hired another woman, to balance the staff at two men and two women.",,"Hewlett can suggest or encourage its diverse grantees to work together on specific projects through introductions, or through joint funding for multiple groups on a project.",
Environmental Integrity Project,,,"We have a family friendly workplace, with generous leave benefits and paid disability leave (3 months) that covers both maternity and paternity leave. While we set high expectations and our staff work hard, we also provide flexibility as to workplace and hours in the office as needed.  We are trying to diversify our Board by recruiting two candidates (identified), one female and the second African American.  We are recruiting a communications specialist and actively seeking persons of color among qualified candidates.","Fund fellowships for people of color, which could help focus recruiting (which is especially challenging for smaller organizations).  Fund work important to environmental justice communities, which could help to draw more applicants from diverse backgrounds.",See answers above re: supporting work that directly serves environmental communities.,"Fund work that is important to people of color, EJ communities."
Grand Canyon Trust,"DEI means having organizational staff and board reflect the diversity of the country - and the region in particular - and creating a workplace culture in which everyone is free to be their whole selves. Organizations need to be mindful of the full and shifting breadth of diversity in the communities with which they engage, and ensuring opportunities for the perspectives of all to influence the priority work for their communities. Internal and external DEI efforts need to be coupled with meaningful action towards justice in order to not engage in tokenism among staff and in communities served.","The conversation around public lands conservation has been an exclusive one for far too long. This has led to fracturing and ineffectiveness, because important perspectives have been marginalized. For Western Conservation to remain a relevant public issue, we need to rethink who the ""public"" in public lands are, and what histories these folks bring to their relationship with public land. A privileged ""white"" discourse has set the tone for Western Conservation for a long time, and DEI values/initiatives represent a formal and intentional exploration about how to change the movement towards relevance in more peoples' lives.","The Trust has had a group of 5 staff working together on how to integrate DEI into hiring practices and workplace culture since November 2017, including the Executive Director, the Senior Director of Programs, the Head of the Youth Leadership Program, and two Americorp Vista team members. This group worked together to formulate the responses to this survey. We are considering contracting a DEI advisory firm to DEI  to conduct a training to sensitize all staff on DEI, and help organizational leaders to formulate a long term strategy for ensuring ongoing progress in this regard, for both internal and external DEI strategies.","Provide resources (financial and/or material) to help organizations: address how unconscious bias may be affecting hiring decisions and workplace culture.  craft more inclusive language for job openings and employ more diverse channels of communication to reach a broader audience and ensure that all qualified candidates feel empowered to apply. Additional resources to help organizations improve their approach to the actual hiring process (blind applications, open hiring meetings, etc.) create an internal support mechanism for employees to address issues and present ideas convene workshops with leaders of conservation organizations to explore different models of management, with an eye to encouraging more decentralized decision-making and the flattening of hierarchies. The purpose would be to foster diversity of leadership within an organization.
","Provide resources (financial and/or material) to help organizations shift their public communication strategies/methods to be more inclusive and relevant to a broader audience. In the same vein as inclusive hiring practices, Hewlett could also support orgs in working towards having their membership reflect the demographics of the region the org is working in. The Foundations should ask grantees to commit to a shared set of values, including in collaborative work they may undertake with other partners, and hold grantees accountable for holding up those values. Perhaps the Hewlett Foundation could provide instructive resources or examples of other organizations that have taken this on with success. Encourage grantees to incorporate questions on the organization’s delivery on DEI considerations in evaluation surveys conducted with constituencies served.
","Hewlett (and Western Conservation orgs in general) should approach DEI implementation with flexibility and humbleness. There are histories of oppression and exclusion that will be directly confronted if we're seeking to incorporate other groups into our work. We need to enter these conversations with humility, and be willing to implement suggestions received from these folks in a tangible and meaningful way. This will undoubtedly change what ""Western Conservation"" means and how we do our work. That's part of the point, and organizations need to be open to this change."
