grantee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
American Rivers,0.3299634570767963,0.27216087862369864,0.233702151798479,0.18944922922517218,0.18151691122597788,0.15134364372486203,0.15134364372486203,0.15134364372486203,0.15134364372486203,0.15134364372486203,0.15134364372486203,0.15134364372486203,0.15134364372486203,0.15134364372486203,0.15134364372486203
Arabella Advisors,0.3786686739901065,0.23118200803644187,0.23118200803644187,0.14469472306631356,0.13315577988374377,0.11559100401822094,0.11559100401822094,0.11559100401822094,0.11559100401822094,0.11559100401822094,0.10393350008073876,0.10393350008073876,0.10393350008073876,0.10393350008073876,0.10393350008073876
Backcountry Hunters and Anglers,0.17644421533331328,0.17644421533331328,0.17644421533331328,0.17644421533331328,0.17644421533331328,0.17644421533331328,0.17644421533331328,0.17644421533331328,0.17644421533331328,0.17644421533331328,0.17644421533331328,0.17644421533331328,0.17644421533331328,0.17644421533331328,0.17644421533331328
Center for American Progress,0.3660843829613527,0.24405625530756847,0.194967079587278,0.194967079587278,0.194967079587278,0.194967079587278,0.194967079587278,0.194967079587278,0.194967079587278,0.194967079587278,0.194967079587278,0.194967079587278,0.194967079587278,0.194967079587278,0.194967079587278
Conservation Colorado Education Fund,0.2135057040670343,0.2135057040670343,0.2135057040670343,0.2135057040670343,0.2135057040670343,0.2135057040670343,0.2135057040670343,0.2135057040670343,0.2135057040670343,0.2135057040670343,0.2135057040670343,0.1997138732083525,0.19197337456634048,0.19197337456634048,0.19197337456634048
Conservation Lands Foundation,0.30872641581833044,0.24662956336723282,0.24662956336723282,0.24662956336723282,0.24662956336723282,0.24662956336723282,0.24662956336723282,0.24662956336723282,0.24662956336723282,0.2217566493331976,0.2217566493331976,0.2217566493331976,0.2217566493331976,0.2041090359772356,0.2041090359772356
Earthjustice,0.32343353375353473,0.29081483885361614,0.21562235583568978,0.19387655923574412,0.19387655923574412,0.16648009554424373,0.1567018744087049,0.14127298618161138,0.12695257597608686,0.10781117791784489,0.10781117791784489,0.10781117791784489,0.10781117791784489,0.10781117791784489,0.10781117791784489
EcoFlight,0.5296168337031136,0.1963401004973927,0.1963401004973927,0.1963401004973927,0.1963401004973927,0.1963401004973927,0.1963401004973927,0.1963401004973927,0.1963401004973927,0.1836571163650979,0.17653894456770455,0.17653894456770455,0.17653894456770455,0.16248980085378004,0.16248980085378004
Environmental Integrity Project,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grand Canyon Trust,0.2998226801717116,0.27596249491490576,0.25745509739846506,0.21847326731917144,0.16672586125532002,0.16672586125532002,0.16672586125532002,0.16672586125532002,0.16672586125532002,0.16672586125532002,0.16672586125532002,0.16672586125532002,0.16672586125532002,0.16672586125532002,0.16672586125532002
Greater Yellowstone Coalition,0.2198885052802044,0.2198885052802044,0.2198885052802044,0.2198885052802044,0.2198885052802044,0.2198885052802044,0.2198885052802044,0.2198885052802044,0.2198885052802044,0.2198885052802044,0.2198885052802044,0.2123158315226644,0.19771246192905412,0.19771246192905412,0.19771246192905412
Headwaters Economics,0.28141413697193174,0.28141413697193174,0.28141413697193174,0.28141413697193174,0.28141413697193174,0.253033153194887,0.253033153194887,0.2328965247454113,0.2328965247454113,0.2328965247454113,0.2328965247454113,0.2172773422728438,0.2172773422728438,0.2172773422728438,0.19372559170784784
Hispanic Access Foundation,0.22747712838135514,0.21619563544761644,0.20937427364816127,0.19533260862655236,0.18385973292998306,0.18385973292998306,0.1832092241181257,0.12649583454976668,0.12649583454976668,0.12649583454976668,0.12649583454976668,0.12649583454976668,0.12649583454976668,0.12649583454976668,0.12649583454976668
Idaho Conservation League,0.3724285179628202,0.2761341709387786,0.24828567864188014,0.21320072764602133,0.1769791553830461,0.17282987431631971,0.1380670854693893,0.1380670854693893,0.1380670854693893,0.1380670854693893,0.1380670854693893,0.1380670854693893,0.1380670854693893,0.1380670854693893,0.1380670854693893
Keystone Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
League of Conservation Voters Education Fund,0.32309938045892156,0.2848152914310136,0.26571418198894947,0.22548182614663909,0.19822215615167904,0.17207437835769404,0.17207437835769404,0.17207437835769404,0.17207437835769404,0.17207437835769404,0.17207437835769404,0.17207437835769404,0.17207437835769404,0.17207437835769404,0.15472045224309422
Montana Wilderness Association,0.3761969205645992,0.3029875857089356,0.23332214929802975,0.23192984660764265,0.2091961673706959,0.2091961673706959,0.2091961673706959,0.2091961673706959,0.2091961673706959,0.2091961673706959,0.1947872802412182,0.1880984602822996,0.1880984602822996,0.1880984602822996,0.1731293988814568
